Row Labels
ABIES
BALSAM FIR
ABUTILON
VELVET LEAF
ACCIPITER
COOPERS HAWK
NORTHERN GOSHAWK
SHARP SHINNED HAWK
ACER
BLACK MAPLE
BOXELDER
BOXELDER [ASH LEAVED MAPLE]
MOUNTAIN MAPLE
NORWAY MAPLE
RED MAPLE
SILVER MAPLE
SUGAR MAPLE
ACER 
MOUNTAIN MAPLE
RED MAPLE
STRIPED MAPLE
ACHILLEA
COMMON YARROW
SNEEZEWEED YARROW
YARROW
ACONITUM
MONKSHOOD
ACORUS
SWEET FLAG CALAMUS
ACRIS
CRICKET FROG
ACTAEA
BANEBERRY
BLACK SNAKEROOT
RED BANEBERRY
WHITE BANEBERRY
ACTITIS
SPOTTED SANDPIPER
ADOXA
ADOXA
AEDES
MOSQUITO
AEGOLIUS
NORTHERN SAW WHET OWL
SAW WHET OWL
AESCULUS
HORSE CHESTNUT
HORSE CHESTNUT 5TH STREET
HORSE CHESTNUT RIVER ROAD
OHIO BUCKEYE
AESHNA
BLACK TIPPED DARNER
CANADA DARNER
AGALINIS
FOXGLOVE
SLENDER GERARDIA
AGASTACHE
BLUE GIANT HYSSOP
FIGWORT GIANT HYSSOP
GIANT FRAGRANT HYSSOP
GIANT HYSSOP
WILD ANISE
AGELAIUS
RED WINGED BLACKBIRD
AGERATINA
SNAKEROOT
WHITE SNAKEROOT
AGLAIS
MILBERTS TORTISESHELL
AGRIMONIA
AGRIMONY
COMMON AGRIMONY
TALL HAIRY AGRIMONY
WOODLAND AGRIMONY
AGROSTIS
CREEPING BENTGRASS
AIX
WOOD DUCK
WOOD DUCK 
AJUGA
BUGLE
ALCES
MOOSE
ALISMA
WATER PLANTAIN
ALLIARIA
GARLIC MUSTARD
ALLIUM
CHIVES
PURPLE ONIONS
WILD LEEK
WILD ONION 
ALLIUM 
PRAIRIE ONION
ALNUS
ALDER
ALDERS
SPECKLED ALDER
SPECKLED ALDER [HOARY A]
AMBLYSCIRTES
COMMON ROADSIDE SKIPPER
PEPPER AND SALT SKIPPER
AMBROSIA
COMMON RAGWEED
GREAT RAGWEED
RAGWEED
AMBYSTOMA
BLUE SPOTTED SALAMANDER
AMELANCHIER
CANADIAN SERVICEBERRY
DOWNY JUNEBERRY
JUNE BERRY
JUNEBERRY  
SERVICEBERRY
SMOOTH SERVICEBERRY
AMMODRAMUS
GRASSHOPPER SPARROW
LECONTES SPARROW
AMORPHA
LEADPLANT
AMORPHA 
FALSE INDIGO
LEAD PLANT
AMPHICARPA
HOG PEANUT
AMSONIA
TEXAS BLUE STAR
ANAPHALIS
PEARLY EVERLASTING
ANAS
AMERICAN BLACK DUCK
AMERICAN WIGEON
BLUE WINGED TEAL
GADWALL
GREEN WINGED TEAL
MALLARD
NORTHERN PINTAIL
NORTHERN SHOVELER
ANATRYTONE
DELAWARE SKIPPER
ANAX
BIG GREEN DARNER
COMMON GREEN DARNER
ANAXYRUS
AMERICAN TOAD
DWARF AMERICAN TOAD
ANCYLOXYPHA
LEAST SKIPPER
ANDROMEDA
BOG ROSEMARY
ANDROPOGON
BIG BLUESTEM
ANEMONE
CANADA ANEMONE
CROWFOOT
GRAY LONG-FRUITED ANEMONE
LONG HEADED THIMBLEWEED
PASQUE FLOWER
PASQUE FLOWER AMERICAN
PRICKLY ASH ARBOR
SNOWDROP CROWFOOT
TALL THIMBLEWEED
THIMBLE WEED
THIMBLEWEED
WINDFLOWER (WOOD ANEMONE)
WOOD ANEMONE
ANGELICA
ANGELICA
PURPLE STEMMED ANGELICA
ANSER
GOOSE  
GOOSE   
WHITE FRONTED GOOSE
ANTENNARIA
 PLANTAIN LEAF PUSSYTOES
FIELD PUSSYTOES
PLANTAIN LEAF EVERLASTING
PLANTAIN PUSSYTOES
PLANTAIN-LEAVED EVERLASTING
ANTHEMIS
MAYWEED
MAYWEED 
ANTHUS
AMERICAN PIPIT
WATER PIPITS
APALONE
SPINY SOFTSHELL TURTLE
APIOS
GROUNDNUT
APOCYNUM
CLASPING DOGBANE
COMMON DOGBANE
DOGBANE
INDIAN HEMP
INDIAN HEMP DOGBANE
INTERMEDIATE DOGBANE
SPREADING DOGBANE
AQUILA
GOLDEN EAGLE
AQUILEGIA
CANADA COLUMBINE
RED COLUMBINE
WILD COLUMBINE
ARABIDOPSIS
LYRE LEAFED ROCK CRESS
ARABIS
ROCK CRESS
SAND CRESS
SMOOTH ROCK CRESS
TOWER MUSTARD
ARALIA
AMERICAN SPIKENARD
BRISTLY SARSAPARILLA 
SPIKENARD
WILD SARSAPARILLA
WILD SARSPARILLA
ARCHILOCHUS
RUBY THROATED HUMMINGBIRD
